GVKEY,CITY,CONML,SIC,STATE,CONM,TIC,CIK
028308,Boston,Putnam Municipal Opportunities Trust,6726,MA,PUTNAM MUN OPPORTUNITIES TR,PMO,0000900422
028435,San Jose,Bell Microproducts Inc,5065,CA,BELL MICROPRODUCTS INC,BELM,0000900708
028595,Wilmington,BlackRock Corporate High Yield Fund Inc,6726,DE,BLACKROCK CORP HIGH YLD FD,COY,0000900724
029312,Rockville,Human Genome Sciences Inc,2835,MD,HUMAN GENOME SCIENCES INC,HGSI,0000901219
028606,Wilmington,BlackRock MuniAssets Fund Inc,6726,DE,BLACKROCK MUNIASSETS FUND,MUA,0000901243
028397,Louisville,Papa John's International Inc,5812,KY,PAPA JOHNS INTERNATIONAL INC,PZZA,0000901491
015319,Madrid,Repsol SA,2911,,REPSOL SA,REPYY,0000901576
028643,Wilmington,BlackRock Massachusetts Tax-Exempt Trust,6726,DE,BLACKROCK MASS TAX-EXEMPT TR,MHE,0000901824
028272,Cambridge,Astrazeneca PLC,2834,,ASTRAZENECA PLC,AZN,0000901832
028388,Poway,Aldila Inc,3949,CA,ALDILA INC,ALDA.1,0000902272
028462,Toledo,Libbey Inc.,3220,OH,LIBBEY INC,LBY,0000902274
266316,Durham,Icagen Inc.,2834,NC,ICAGEN INC,ICGN,0000902622
028330,Wilmington,BlackRock New York Investment Quality Municipal Trust Inc,6726,DE,BLACKROCK NY INV QLTY MUN TR,RNY,0000902717
028328,Wilmington,BlackRock Investment Quality Municipal Income Trust,6726,DE,BLACKROCK INVESTMT QLTY MUN,RFA,0000902719
028331,Wilmington,BlackRock California Investment Quality Municipal Trust Inc,6726,DE,BLACKROCK CA INV QLTY MUN TR,RAA,0000902722
028329,Wilmington,BlackRock New Jersey Investment Quality Municipal Trust Inc,6726,DE,BLACKROCK NJ INV QLTY MUN TR,RNJ,0000902731
028473,Chicago,Nuveen Minnesota Quality Municipal Income Fund,6726,IL,NUVEEN MINNESOTA QUAL MUN,NMS,0000902748
028457,Minneapolis,American Municipal Income Portfolio Inc.,6726,MN,AMERICAN MUN INCOME PTFL INC,XAA,0000902750
028410,Vancouver,Barrett Business Services Inc,7363,WA,BARRETT BUSINESS SVCS INC,BBSI,0000902791
028459,New York,Western Asset Emerging Markets Income Fund Inc,6726,NY,WESTERN ASST EMG MKT INCM FD,EMD.2,0000902978
028608,Atlanta,Post Properties Inc,6798,GA,POST PROPERTIES INC,PPS,0000903127
028408,Northville,Gentherm Inc,3714,MI,GENTHERM INC,THRM,0000903129
020488,Toronto,Golden Star Resources Ltd.,1040,ON,GOLDEN STAR RESOURCES LTD,GSS,0000903571
028717,Ridgefield Park,Innodata Inc,7374,NJ,INNODATA INC,INOD,0000903651
028605,New York,Morgan Stanley Emerging Markets Debt Fund Inc.,6726,NY,MORGAN STAN EMG MKT DEBT FD,MSD,0000904112
001526,Galveston,American National Insurance Company,6311,TX,AMERICAN NATIONAL INSURANCE,ANAT,0000904163
028520,Buenos Aires,Ypf Sociedad Anonima Yacimientos Petroliferos Fiscales,2911,,YACIMIENTOS PETE FISCALES SA,YPF,0000904851
028563,Framingham,rEVO Biologics Inc,2836,MA,REVO BIOLOGICS INC  -REDH,GTCB,0000904973
028543,Irvine,Sun Healthcare Group Inc,8051,CA,SUN HEALTHCARE GROUP INC,SUNH,0000904978
028518,Valley City,Shiloh Industries Inc,3460,OH,SHILOH INDUSTRIES INC,SHLO,0000904979
028463,Chicago,Nuveen California Premium Income Municipal Fund,6726,IL,NUVEEN CA PREM INCOME MUN FD,NCU,0000905000
028654,New York,AllianceBernstein Global High Income Fund Inc,6726,NY,ALLIANCEBERNSTEIN GLB HI INC,AWF,0000906013
028733,Chicago,Equity Residential,6798,IL,EQUITY RESIDENTIAL,EQR,0000906107
012459,Reston,NVR Inc.,1531,VA,NVR INC,NVR,0000906163
147660,Fairfax,SRA International Inc.,7370,VA,SRA INTERNATIONAL INC,SRX,0000906192
028641,Walla Walla,Key Technology Inc,3550,WA,KEY TECHNOLOGY INC,KTEC,0000906193
028616,Scottsdale,Rural/Metro Corp,4100,AZ,RURAL/METRO CORP,RURL,0000906326
030554,Haifa,Taro Pharmaceutical Industries Ltd,2834,,TARO PHARMACEUTICL INDS LTD,TARO,0000906338
028629,Houston,Camden Property Trust,6798,TX,CAMDEN PROPERTY TRUST,CPT,0000906345
028967,Moline,QCR Holdings Inc,6020,IL,QCR HOLDINGS INC,QCRH,0000906465
028541,Mexico City,Grupo Radio Centro SA De CV Rcentro,4832,,GRUPO RADIO CENTRO SA DE CV,GRDCY,0000906526
029011,Las Vegas,Boyd Gaming Corp,7990,NV,BOYD GAMING CORP,BYD,0000906553
030137,San Francisco,Nektar Therapeutics,2834,CA,NEKTAR THERAPEUTICS,NKTR,0000906709
029343,Mexico City,"Grupo Casa SAba SA De CV, Mexico",5122,,GRUPO CASA SABA SA DE CV,GCSAY,0000906779
029129,Monticello,Empire Resorts Inc,7990,NY,EMPIRE RESORTS INC,NYNY,0000906780
028634,Chicago,Nuveen Premium Income Municipal Opportunity Fund,6726,IL,NUVEEN PREM INCM MUNI OPPY,NPX,0000906959
028704,Reno,Monarch Casino & Resort Inc,7990,NV,MONARCH CASINO & RESORT INC,MCRI,0000907242
028769,Bethesda,Saul Centers Inc,6798,MD,SAUL CENTERS INC,BFS,0000907254
028866,Sioux Falls,Meta Financial Group Inc,6035,SD,META FINANCIAL GROUP INC,CASH,0000907471
112754,Burlington,Dyax Corp,2836,MA,DYAX CORP,DYAX,0000907562
028638,Philadelphia,Delaware Investments Colorado Municipal Income Fund Inc,6726,PA,DELAWARE INV CO MUN INCM FD,VCF,0000907573
028460,Salt Lake City,FX Energy Inc,1311,UT,FX ENERGY INC,FXEN,0000907649
182309,Westminster,ARCA biopharma Inc,2836,CO,ARCA BIOPHARMA INC,ABIO,0000907654
028678,Mountain View,Actel Corp,3674,CA,ACTEL CORP,ACTL.1,0000907687
028800,Newport Beach,PCM Fund Inc,6726,CA,PCM FUND INC,PCM,0000908187
028742,Auburn Hills,BorgWarner Inc,3714,MI,BORGWARNER INC,BWA,0000908255
019966,Dallas,CIM Commerical Trust Corporation,6798,TX,CIM COMMERICAL TRUST,CMCT,0000908311
028785,Minneapolis,Winmark Corp,6794,MN,WINMARK CORP,WINA,0000908315
028712,Oakdale,ATRM Holdings Inc,1520,MN,ATRM HOLDINGS INC,ATRM,0000908598
028765,Houston,Landry's Restaurants Inc.,5812,TX,LANDRYS RESTAURANTS INC,LNY,0000908652
028653,Shanghai,Sinopec Shanghai Petrochemical Co Ltd,2911,,SINOPEC SHANGHAI PETROCHEM,SHI,0000908732
028843,Minneapolis,American Select Portfolio Inc.,6726,MN,AMERICAN SELECT PORTFOLIO,SLA,0000908785
063723,Wilmington,NB&T Financial Group Inc,6020,OH,NB & T FINANCIAL GROUP INC,NBTF,0000908837
030662,New York,Sirius XM Holdings Inc,4832,NY,SIRIUS XM HOLDINGS INC,SIRI,0000908937
029006,Atlanta,Invesco Advantage Municipal Income Trust II,6726,GA,INVESCO ADV MUNI INCM TR II,VKI,0000908993
028883,Santiago,Sociedad Quimica y Minera de Chile SA Soqimich,2810,,SOC QUIMICA Y MINERA DE CHI,SQM,0000909037
065235,Columbus,Diamond Hill Investment Group Inc,6282,OH,DIAMOND HILL INVESTMENT GRP,DHIL,0000909108
028900,Birmingham,Colonial Properties Trust,6798,AL,COLONIAL PROPERTIES TRUST,CLP,0000909111
028911,San Mateo,Templeton Emerging Markets Income Fund Inc.,6726,CA,TEMPLETON EMERGING MKTS INCM,TEI,0000909112
028919,Tulsa,ONEOK Partners LP,4922,OK,ONEOK PARTNERS -LP,OKS,0000909281
200512,Salvador,Suzano SA,2600,,SUZANO SA,SUZ,0000909327
062723,Toronto,Tucows Inc,7370,ON,TUCOWS INC,TCX,0000909494
028675,Fort Worth,Tandy Leather Factory Inc,5990,TX,TANDY LEATHER FACTORY INC,TLF,0000909724
028938,San Jose,Ultratech Inc,3559,CA,ULTRATECH INC,UTEK,0000909791
029028,Issaquah,Costco Wholesale Corp,5399,WA,COSTCO WHOLESALE CORP,COST,0000909832
029219,New York,Western Asset High Income Opportunity Fund Inc,6726,NY,WESTERN ASST HI INCM OPP FND,HIO,0000910068
029282,Westbury,New York Community Bancorp Inc.,6036,NY,NEW YORK CMNTY BANCORP INC,NYCB,0000910073
029052,New York,Lexington Realty Trust,6798,NY,LEXINGTON REALTY TRUST,LXP,0000910108
061836,South San Francisco,Titan Pharmaceuticals Inc,2834,CA,TITAN PHARMACEUTICALS INC,TTNP,0000910267
029246,Lake Success,Astoria Financial Corp,6035,NY,ASTORIA FINANCIAL CORP,AF,0000910322
029517,Baltimore,Medifast Inc.,2090,MD,MEDIFAST INC,MED,0000910329
029609,Lake Success,Hain Celestial Group Inc (The),2000,NY,HAIN CELESTIAL GROUP INC,HAIN,0000910406
029015,Goleta,Deckers Outdoor Corp,3100,CA,DECKERS OUTDOOR CORP,DECK,0000910521
029099,Jacksonville,Regency Centers Corp.,6798,FL,REGENCY CENTERS CORP,REG,0000910606
029082,Chattanooga,CBL & Associates Properties Inc.,6798,TN,CBL & ASSOCIATES PPTYS INC,CBL,0000910612
028844,Mexico City,Coca-Cola Femsa SAB De CV,2086,,COCA-COLA FEMSA SAB DE CV,KOF,0000910631
014898,Rock Hill,3D Systems Corp,3559,SC,3D SYSTEMS CORP,DDD,0000910638
029300,Pittsburgh,WVS Financial Corp.,6036,PA,WVS FINANCIAL CORP,WVFC,0000910679
028998,Sioux Falls,LodgeNet Interactive Corp,4899,SD,LODGENET INTERACTIVE CORP,LNETQ,0000911002
029734,Phoenix,Mobile Mini Inc,7359,AZ,MOBILE MINI INC,MINI,0000911109
029151,Colorado Springs,Century Casinos Inc,7990,CO,CENTURY CASINOS INC,CNTY,0000911147
065702,Rutland,Casella Waste Systems Inc,4953,VT,CASELLA WASTE SYS INC  -CL A,CWST,0000911177
029086,Cranbury,Palatin Technologies Inc.,2836,NJ,PALATIN TECHNOLOGIES INC,PTN,0000911216
029210,Wilmington,BlackRock MuniYield Arizona Fund Inc,6726,DE,BLACKROCK MNIYLD ARIZ FD INC,MZA,0000911308
192856,Lexington,Synageva BioPharma Corp,2836,MA,SYNAGEVA BIOPHARMA CORP,GEVA,0000911326
029097,Pembroke,PartnerRe Ltd,6331,,PARTNERRE LTD,PRE,0000911421
063424,Waltham,Steinway Musical Instruments Inc.,3931,MA,STEINWAY MUSICAL INSTRS INC,LVB,0000911583
029164,Richmond Heights,Associated Estates Realty Corp,6798,OH,ASSOCIATED ESTATES RLTY CORP,AEC,0000911635
029051,Pasadena,Western Asset Global Partners Income Fund Inc,6726,CA,WESTERN ASST GLBL PTNRS INCM,GDF,0000911638
029040,Mineola,Standard Diversified Inc,5190,NY,STANDARD DIVERSIFIED INC,SDI,0000911649
029433,Richardson,Speed Commerce Inc,7370,TX,SPEED COMMERCE INC,SPDC,0000911650
061034,Hamilton,Teekay Corp,4412,,TEEKAY CORP,TK,0000911971
029267,Downers Grove,Invesco Van Kampen Select Sector Municipal Trust,6726,IL,INVESCO VAN KAMPEN SELECT,VKL,0000912022
029289,Tokyo,Korea Equity Fund Inc,6726,,KOREA EQUITY FUND INC,KEF,0000912023
029265,Wilmington,Torch Energy Royalty Trust,6792,DE,TORCH ENERGY ROYALTY TRUST,TRRU,0000912030
060911,Kowloon,Natural Health Trends Corp,5122,,NATURAL HEALTH TRENDS CORP,NHTC,0000912061
029241,San Jose,Viavi Solutions Inc,3576,CA,VIAVI SOLUTIONS INC,VIAV,0000912093
029143,Las Vegas,Ameristar Casinos Inc,7990,NV,AMERISTAR CASINOS INC,ASCA,0000912145
029412,New York,Royce Micro Cap Trust Inc,6726,NY,ROYCE MICRO-CAP TRUST INC,RMT,0000912147
029248,Calgary,CE Franklin Ltd.,5084,AB,CE FRANKLIN LTD,CFK,0000912151
063866,Lexington,Cubist Pharmaceuticals Inc,2834,MA,CUBIST PHARMACEUTICALS INC,CBST,0000912183
029868,Santa Monica,Macerich Co (The),6798,CA,MACERICH CO,MAC,0000912242
029264,Hingham,Talbots Inc. (The),5621,MA,TALBOTS INC,TLB,0000912263
025691,Denver,Evergreen Energy Inc,9995,CO,EVERGREEN ENERGY INC,EVEIQ,0000912365
063447,Los Angeles,Guess ? Inc.,2330,CA,GUESS INC,GES,0000912463
027598,Toronto,Crystallex International Corp,1040,ON,CRYSTALLEX INTERNATIONAL CP,CRYFQ,0000912500
029039,Santiago,Enel Americas SA,4911,,ENEL AMERICAS SA,ENIA,0000912505
029511,Woodland Park,Cytec Industries Inc.,2890,NJ,CYTEC INDUSTRIES INC,CYT,0000912513
029165,Boca Raton,NovelStem International Corp,2835,FL,NOVELSTEM INTERNATIONAL CORP,NSTM,0000912544
029131,Buffalo,Gibraltar Industries Inc,3310,NY,GIBRALTAR INDUSTRIES INC,ROCK,0000912562
029359,Southfield,Sun Communities Inc.,6798,MI,SUN COMMUNITIES INC,SUI,0000912593
029649,Germantown,Mid-America Apartment Communities Inc,6798,TN,MID-AMERICA APT CMNTYS INC,MAA,0000912595
029217,Portland,Schnitzer Steel Industries Inc,5093,OR,SCHNITZER STEEL INDS  -CL A,SCHN,0000912603
029170,Cleveland,Mace Security International Inc,3669,OH,MACE SECURITY INTL INC,MACE,0000912607
029150,Philadelphia,Urban Outfitters Inc,5651,PA,URBAN OUTFITTERS INC,URBN,0000912615
029206,Greeneville,Forward Air Corp,4210,TN,FORWARD AIR CORP,FWRD,0000912728
029253,Singapore,Asia Tigers Fund Inc (The),6726,,ASIA TIGERS FUND INC,GRR,0000912729
029279,New York,Invesco High Yield Investments Fund,6726,NY,INVESCO HIGH YIELD INVEST FD,MSY,0000912734
029173,The Woodlands,Newfield Exploration Co,1311,TX,NEWFIELD EXPLORATION CO,NFX,0000912750
060800,Hunt Valley,Sinclair Broadcast Group Inc,4833,MD,SINCLAIR BROADCAST GP  -CL A,SBGI,0000912752
026305,Baltimore,Laureate Education Inc,8200,MD,LAUREATE EDUCATION INC,LAUR,0000912766
029156,Grand Rapids,Universal Forest Products Inc,2421,MI,UNIVERSAL FOREST PRODS INC,UFPI,0000912767
029268,Watsonville,West Marine Inc,5500,CA,WEST MARINE INC,WMAR,0000912833
064767,Minnetonka,Vital Images Inc,7372,MN,VITAL IMAGES INC,VTAL,0000912888
062313,Miami,Terremark Worldwide Inc,7370,FL,TERREMARK WORLDWIDE INC,TMRK,0000912890
029850,Mexico City,Grupo Televisa SAB,4888,,GRUPO TELEVISA SAB,TV,0000912892
029607,Columbus,Glimcher Realty Trust,6798,OH,GLIMCHER REALTY TRUST,GRT,0000912898
030024,Luxembourg City,Millicom International Cellular SA,4812,,MILLICOM INTL CELLULAR SA,TIGO,0000912958
029466,Mountain Grove,First Bancshares Inc,6020,MO,FIRST BANCSHARES INC/MO,FBSI,0000912967
029286,Buenos Aires,BBVA Banco Frances SA,6020,,BBVA BANCO FRANCES SA,BFR,0000913059
062990,Santa Clara,Affymetrix Inc,3826,CA,AFFYMETRIX INC,AFFX,0000913077
028940,St. Louis,Belden Inc,3670,MO,BELDEN INC,BDC,0000913142
061406,Pembroke,RenaissanceRe Holdings Ltd,6331,,RENAISSANCERE HOLDINGS LTD,RNR,0000913144
062948,Gainesville,Exactech Inc,3842,FL,EXACTECH INC,EXAC,0000913165
029382,Long Island City,Steven Madden Ltd,3140,NY,MADDEN STEVEN LTD,SHOO,0000913241
185372,Salt Lake City,Clarus Corporation,3949,UT,CLARUS CORPORATION,CLAR,0000913277
312009,Hamilton,Frontline Ltd,4412,,FRONTLINE LTD,FRO,0000913290
065958,West Point,C&F Financial Corp,6020,VA,C&F FINANCIAL CORP,CFFI,0000913341
029743,New York,Invesco California Municipal Securities,6726,NY,INVESCO CALIF MUNI SECS,ICS,0000913342
029742,New York,Invesco Value Municipal Securities,6726,NY,INVESCO VALUE MUNI SECS,IMS.3,0000913345
028485,Toronto,Colliers International Group Inc,6531,ON,COLLIERS INTL GROUP INC,CIGI,0000913353
029461,Palm Beach Gardens,National Dentex Corp,8000,FL,NATIONAL DENTEX CORP,NADX,0000913616
029455,London,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc,6726,,ABERDEEN EMG MKTS SM CO OPPS,ABE,0000913662
029397,Vienna,TerreStar Corp,4899,VA,TERRESTAR CORP,TSTRQ,0000913665
117142,Malvern,Orthovita Inc,3841,PA,ORTHOVITA INC,VITA.1,0000913756
031521,New York City,INTL FCStone Inc,6200,NY,INTL FCSTONE INC,INTL,0000913760
029386,Hillsboro,TriQuint Semiconductor Inc,3674,OR,TRIQUINT SEMICONDUCTOR INC,TQNT,0000913885
019997,Vancouver,Aurizon Mines Ltd,1040,BC,AURIZON MINES LTD,AZK,0000913955
029353,Baton Rouge,Shaw Group Inc. (The),8711,LA,SHAW GROUP INC,SHAW,0000914024
008633,Santa Cruz,Plantronics Inc.,3661,CA,PLANTRONICS INC,PLT,0000914025
029486,New York,Western Asset Worldwide Income Fund Inc,6726,NY,WESTERN ASST WORLDWD INCM FD,SBW,0000914035
019431,Niles,Perma-Pipe International Holdings Inc,3490,IL,PERMA-PIPE INTERNATIONAL HOL,PPIH,0000914122
065610,Middleburg,Middleburg Financial Corp,6020,VA,MIDDLEBURG FINANCIAL CORP,MBRG,0000914138
029332,Jacksonville,ParkerVision Inc,3663,FL,PARKERVISION INC,PRKR,0000914139
029449,Newburyport,UFP Technologies Inc,3086,MA,UFP TECHNOLOGIES INC,UFPT,0000914156
029804,Atlanta,Invesco Ltd,6282,GA,INVESCO LTD,IVZ,0000914208
029178,Buenos Aires,Telefonica De Argentina SA,4813,,TELEFONICA DE ARGENTINA SA,TAR,0000914242
031881,Hillsboro,FEI Co.,3826,OR,FEI CO,FEIC,0000914329
029446,Stillwater,Southwest Bancorp Inc,6020,OK,SOUTHWEST BANCORP INC,OKSB,0000914374
029304,Olathe,Elecsys Corp,3672,KS,ELECSYS CORP,ESYS,0000914398
062921,San Diego,Neurocrine Biosciences Inc,2836,CA,NEUROCRINE BIOSCIENCES INC,NBIX,0000914475
029647,Fort Lauderdale,SFN Group Inc,7363,FL,SFN GROUP INC,SFN.2,0000914536
029621,Waltham,Steel Connect Inc,7374,MA,STEEL CONNECT INC,STCN,0000914712
029829,Peabody,PHC Inc,8060,MA,PHC INC/MA  -CL A,PHC.3,0000915127
029634,Chicago,Telular Corp,3663,IL,TELULAR CORP,WRLS.1,0000915324
029698,Elk Grove Village,SigmaTron International Inc,3672,IL,SIGMATRON INTERNATIONAL INC,SGMA,0000915358
029392,Kingsport,Eastman Chemical Co,2821,TN,EASTMAN CHEMICAL CO,EMN,0000915389
029722, San Jose,DSP Group Inc,3663,CA,DSP GROUP INC,DSPG,0000915778
029705,Brookings,Daktronics Inc,3990,SD,DAKTRONICS INC,DAKT,0000915779
029755,Atlanta,Beazer Homes USA Inc.,1531,GA,BEAZER HOMES USA INC,BZH,0000915840
031392,Cary,Pantry Inc (The),5500,NC,PANTRY INC,PTRY,0000915862
029875,Arlington,AvalonBay Communities Inc.,6798,VA,AVALONBAY COMMUNITIES INC,AVB,0000915912
029751,Charlotte,Albemarle Corp,2810,NC,ALBEMARLE CORP,ALB,0000915913
029733,Raleigh,Martin Marietta Materials Inc.,1400,NC,MARTIN MARIETTA MATERIALS,MLM,0000916076
029710,Woodland Hills,Health Net Inc.,6324,CA,HEALTH NET INC,HNT,0000916085
029912,Newport Beach,PIMCO Strategic Income Fund,6726,CA,PIMCO STRATEGIC INCOME FUND,RCS,0000916183
030720,Lawrence,Protection One Inc,7380,KS,PROTECTION ONE INC,PONE,0000916230
029709,Novato,Sonic Solutions,7372,CA,SONIC SOLUTIONS,SNIC,0000916235
029736,Brentwood,Tractor Supply Co,5200,TN,TRACTOR SUPPLY CO,TSCO,0000916365
063605,Houston,Calpine Corp,4991,TX,CALPINE CORP,CPN,0000916457
029762,Ann Arbor,Arotech Corp,3690,MI,AROTECH CORP,ARTX,0000916529
030651,Irving,Darling Ingredients Inc,2070,TX,DARLING INGREDIENTS INC,DAR,0000916540
029744,New York,Morgan Stanley India Investment Fund Inc.,6726,NY,MORGAN STAN INDIA INVT FUND,IIF,0000916618
029778,Philadelphia,Delaware Investments Global Dividend and Income Fund Inc,6726,PA,DELAWARE INVST GLOBL DIV INC,DGF,0000916713
005572,El Paso,Helen of Troy Ltd,3634,TX,HELEN OF TROY LTD,HELE,0000916789
030030,Kfar Sava,Silicom Ltd,3576,,SILICOM LTD,SILC,0000916793
011555,Milwaukee,Integrys Holding Inc,4931,WI,INTEGRYS HOLDING INC,TEG,0000916863
030055,Poplar Bluff,Southern Missouri Bancorp Inc,6036,MO,SOUTHERN MISSOURI BANCP INC,SMBC,0000916907
029724,Singapore,India Fund Inc. (The),6726,,INDIA FUND INC,IFN,0000917100
030473,Wheat Ridge,Solitario Zinc Corp,1000,CO,SOLITARIO EXPLORATION & RLTY,XPL,0000917225
030067,Bloomfield Hills,Agree Realty Corp,6798,MI,AGREE REALTY CORP,ADC,0000917251
